date;value
18.04.2013;101,99
19.04.2013;112,4
20.04.2013;116,59
21.04.2013;112
22.04.2013;115,5
23.04.2013;126,1
24.04.2013;143,5
25.04.2013;135,89
26.04.2013;130
27.04.2013;122,63
28.04.2013;125,98
29.04.2013;135,2
30.04.2013;133,83
01.05.2013;116,08
02.05.2013;106,8
03.05.2013;98,59
04.05.2013;111,49
05.05.2013;115,01
06.05.2013;111
07.05.2013;109,95
08.05.2013;109,25
09.05.2013;108,07
10.05.2013;112,99
11.05.2013;112,19
12.05.2013;111,28
13.05.2013;113,2
14.05.2013;104,15
15.05.2013;104,99
16.05.2013;109
17.05.2013;112,08
18.05.2013;113,63
19.05.2013;112,16
20.05.2013;113,7
21.05.2013;116,87
22.05.2013;116,7
23.05.2013;120,69
24.05.2013;128,21
25.05.2013;127,44
26.05.2013;129,56
27.05.2013;127,15
28.05.2013;125,2
29.05.2013;127,66
30.05.2013;126,5
31.05.2013;126,35
01.06.2013;127,47
02.06.2013;120,8
03.06.2013;119,67
04.06.2013;119,7
05.06.2013;120,49
06.06.2013;118,28
07.06.2013;111,8
08.06.2013;109,37
09.06.2013;102,5
10.06.2013;105,12
11.06.2013;108
12.06.2013;107,6
13.06.2013;105,5
14.06.2013;100
15.06.2013;100,51
16.06.2013;100,2
17.06.2013;101,36
18.06.2013;104,9
19.06.2013;105,22
20.06.2013;106,42
21.06.2013;105,63
22.06.2013;101,71
23.06.2013;101,16
24.06.2013;96,23
25.06.2013;98
26.06.2013;98
27.06.2013;95,2
28.06.2013;88,99
29.06.2013;89,6
30.06.2013;90,21
01.07.2013;81,01
02.07.2013;85,4
03.07.2013;77,45
04.07.2013;79,28
05.07.2013;66,4
06.07.2013;65,5
07.07.2013;74
08.07.2013;73,1
09.07.2013;72,25
10.07.2013;80,19
11.07.2013;82,5
12.07.2013;87
13.07.2013;88,99
14.07.2013;87,9
15.07.2013;91,3
16.07.2013;88,55
17.07.2013;89
18.07.2013;83,47
19.07.2013;83,8
20.07.2013;83,95
21.07.2013;83,8
22.07.2013;84,4
23.07.2013;85,98
24.07.2013;86,87
